x,y
2.821330018094027614e-01,-8.075998946346143015e+00
1.476167210823595421e-01,-8.417480044664300110e+00
8.616334130668476532e-02,-6.572029291201721968e+00
3.103865607450262409e-01,-6.915821041688993809e+00
6.033700061874741616e-01,-5.370698619772795723e+00
1.542988619202801948e-01,-8.989034860592301612e+00
3.566070715944004155e-01,-6.584243047108594205e+00
2.343857113643578183e-01,-7.171289356558404826e+00
3.008512709338064806e-01,-6.277304436137089994e+00
2.921816064220492670e-01,-7.143062534882120396e+00
2.345200680809223989e-02,-7.137469448439705211e+00
4.796648513565959226e-01,-6.151019909810611530e+00
1.000745420086768950e-02,-9.467397566536471132e+00
4.919915166338482138e-01,-6.991077684770436562e+00
2.071417862356772239e-03,-7.819956326063944196e+00
2.363770638647859079e-01,-7.561305632084648565e+00
2.011437119060822676e-01,-8.222746871151869641e+00
3.472751275212214717e-01,-6.387117699995064513e+00
1.780390919953019901e-01,-8.152333286364381593e+00
1.744657459069111904e-01,-8.543219792587546380e+00
2.597945615493973404e-01,-6.976242976795820283e+00
3.044248372670110836e-01,-8.434883417071926459e+00
5.822531392233071951e-02,-7.480738944909592902e+00
3.158447560722122960e-01,-5.358194363839097640e+00
2.193583687865605092e-01,-7.718323667222056095e+00
4.297722934153950791e-01,-7.838070302433973957e+00
1.775395976960111033e-01,-8.296223205036822534e+00
5.588239231055119188e-02,-8.311284255590457803e+00
3.835952015179872610e-01,-6.884244132482097989e+00
2.542402200797713382e-02,-6.819086847818547348e+00
7.024657301525342179e-01,-4.933012914392850057e+00
5.370752418407522821e-01,-3.902883355446330249e+00
2.066289252600587156e-01,-9.471339903403407590e+00
2.607000632982927057e-01,-9.678544193925924688e+00
1.399528976440319872e-01,-8.958410669352510070e+00
1.274342907968621097e-01,-8.658808182109408946e+00
8.264585655376429640e-01,1.313038592558830597e+00
9.079197188522343531e-02,-6.919590175486474593e+00
1.124264509864175005e-01,-8.477915276860937155e+00
3.995035332380291737e-01,-7.713336516114234875e+00
2.441233600367080092e-01,-7.321185669677294783e+00
4.500454275932846970e-02,-1.024626358668999160e+01
4.703407013532827086e-01,-6.272203246973314883e+00
1.495321793254349996e-01,-9.325185136341504588e+00
3.207078522835484224e-01,-6.944264964447898869e+00
1.337235009722896051e-01,-7.278037941748069173e+00
5.149106604623242545e-01,-8.002801998724619281e+00
2.813410988292704418e-01,-8.000440288015356671e+00
5.419442986653998096e-02,-8.119289907806084727e+00
4.852240973506573019e-01,-3.425744558180203292e+00
1.731997662308149277e-01,-7.820230494949560018e+00
1.242687099965140013e-01,-8.403782060021272926e+00
4.585115264684591629e-01,-8.282399796257941205e+00
4.912941935662678075e-03,-8.478643148508263394e+00
1.112438013602539133e-01,-7.122191957812585628e+00
1.279791843083835368e-01,-7.896283493888136995e+00
3.891596747831766456e-01,-6.924898601681398702e+00
1.826989564239022978e-01,-7.582663020601709825e+00
1.136043449240932562e-01,-8.157714288241946221e+00
2.072107748977452812e-01,-6.996625183665024394e+00
1.147421895232056399e-01,-8.075698127030619844e+00
3.925080906948014703e-01,-7.997955660722814386e+00
2.260093621315526768e-01,-6.513382588949461649e+00
1.980562269929369013e-01,-8.998299126996464281e+00
3.653846749361810281e-02,-7.426271061186778155e+00
3.704966163179597149e-01,-5.902751301724785904e+00
5.971666749285663434e-01,-5.545943665355961727e+00
1.931576831764566793e-01,-5.528418280906617355e+00
1.573803662446511820e-01,-8.244666320304748552e+00
7.202567271010044958e-02,-7.518958110926329930e+00
4.802963292759551694e-01,-7.702706416140873813e+00
3.596071687283620144e-01,-6.398476325434701018e+00
3.539263282499014451e-01,-7.298364688822892354e+00
2.299091694483741399e-01,-8.484079775938814905e+00
4.002157846979096378e-01,-6.991753545111047075e+00
1.623395879013842524e-01,-6.464792955708688282e+00
1.073690670888445969e-01,-6.256961509382662712e+00
9.371853731111572106e-02,-8.622665504286258553e+00
8.916514030986469330e-02,-8.283393379175258531e+00
6.928351399786325526e-02,-8.001993327322287186e+00
1.899006826542169735e-01,-8.611176338083955883e+00
1.789670888872977039e-01,-8.679510491431063457e+00
4.905036566609978776e-01,-7.800851603898999898e+00
1.946489756813041955e-02,-9.338212340349706153e+00
3.682602496970397987e-01,-4.744866763179487634e+00
6.391239099371631704e-02,-6.226884872246742475e+00
3.114027874558125686e-01,-5.235872159064077991e+00
5.289467076453008287e-01,-5.314347979217264317e+00
1.414508884182591741e-01,-7.831903537820763539e+00
9.582961797621916689e-02,-8.325924018883078759e+00
1.126476405852156470e-01,-8.134544199331068981e+00
2.748733403225429583e-01,-6.694801808628961126e+00
1.810686653210411001e-01,-8.168346221925027351e+00
2.359044358576017353e-01,-6.226977282305226069e+00
8.322337100947679867e-02,-7.513075690788087790e+00
3.427166337967269775e-04,-8.381924446153732333e+00
5.369123829123445546e-01,-5.907763164231749187e+00
2.315095891821942475e-01,-6.656435429620534805e+00
3.049490240424282961e-01,-6.315219033662957671e+00
3.703072172121238959e-01,-7.157659999264129880e+00
4.050757823488877231e-03,-6.357100960571989035e+00
1.942618906885948682e-01,-7.915335223208487925e+00
6.819676930939719273e-02,-7.728060937014711307e+00
4.402514813886645312e-02,-8.097940640340819840e+00
2.405587674421629241e-01,-8.272865823244002215e+00
6.306404295100080937e-01,-4.370238106762628583e+00
2.523066609849696773e-01,-8.192786567958730615e+00
2.744750456615873691e-01,-7.356926406351512071e+00
1.660042373025728546e-01,-8.460239429428671798e+00
6.029862711248670099e-02,-8.932454817571160888e+00
4.721453129451741448e-01,-5.769439133632735306e+00
1.232044151436123419e-01,-8.615676044451230808e+00
1.948553452540371655e-01,-9.209280849805576707e+00
6.342423008261718377e-03,-1.028137720015453560e+01
3.747694364978230719e-01,-7.856378697254609023e+00
1.465050881629243948e-02,-7.003305232688639137e+00
5.723584611979066344e-02,-7.778883808543799461e+00
3.137621835158608263e-01,-8.303192400799659367e+00
1.426467271543726822e-01,-8.082023858701534280e+00
6.038767790163835913e-01,-5.644641174507296633e+00
2.602524645499056932e-01,-7.460636215262200999e+00
8.435491067366049367e-02,-9.833425531292713018e+00
6.777692070839805849e-01,-5.264297493321278942e+00
2.800648233138463561e-01,-6.849148211579644929e+00
1.804998368828728550e-01,-7.796217546058183068e+00
3.839173963698487846e-01,-5.836853693495280382e+00
3.767022006198206263e-01,-8.720303095947873118e+00
6.637156998168602939e-02,-1.011546401802279682e+01
2.746025309041629781e-01,-6.638541354743135336e+00
1.662534005946892379e-01,-6.821592141387131214e+00
2.572042685313615656e-02,-7.528356003103665373e+00
3.163979556458432763e-01,-8.252052360762666794e+00
2.174885441313316736e-01,-8.625026028064294081e+00
3.397454399473997522e-01,-6.683382766975321410e+00
2.454025128122603316e-01,-6.459298920036866676e+00
6.770041696888280669e-02,-8.536605929008027616e+00
5.894572654521010313e-02,-7.619068345766337735e+00
1.354808516825153908e-01,-7.413516637349106375e+00
1.355851850130723457e-01,-9.609884424516408785e+00
9.396944075686534947e-02,-7.320264986290704101e+00
2.059570739677234197e-02,-7.891344450242611330e+00
3.808261032278931757e-01,-6.751396103516513314e+00
3.735263413484322115e-01,-7.514733769661150475e+00
6.664397007327960143e-01,-3.182366028292727744e+00
1.181761408580549316e-01,-1.020757445337539160e+01
1.113540894780411100e-01,-8.151566591101621739e+00
5.655739702574128502e-01,-6.518520439271119571e+00
4.968035052271363439e-01,-5.984884290988360611e+00
4.453635520397583591e-03,-7.164432670313152229e+00
1.346629114146432604e-01,-5.748015950445925171e+00
7.038272252279683672e-01,-2.485864252288989995e+00
5.299723978658384960e-01,-8.185322417096688952e+00
3.278177831263772157e-01,-7.608027255349299800e+00
5.092851954534060033e-01,-5.955363436868720051e+00
2.300253551734607049e-01,-8.578415611471523761e+00
5.071627448283795581e-02,-9.006241067314306292e+00
3.932694770975085630e-02,-8.212987296756480760e+00
2.667057049063560337e-01,-8.003808862642634026e+00
2.407775861558339170e-01,-6.508462500156614539e+00
2.390011132296504526e-01,-8.135788225911829485e+00
3.204662303810127399e-01,-7.031214104959310873e+00
1.139710279007823679e-01,-6.527081767370407128e+00
5.821302039410703594e-02,-7.730165766704713448e+00
3.083432724194541952e-01,-6.662259310122774281e+00
3.199042331068429057e-01,-8.636174065908820197e+00
5.853517610348024647e-01,-4.596234992595654489e+00
4.059346138117635450e-01,-8.044282919379453389e+00
3.676830729686192401e-01,-7.459042910612417643e+00
1.285973494951962448e-01,-7.526559983418599664e+00
2.959467058757352456e-02,-8.182979098301494503e+00
1.421328633901887684e-01,-7.868171310445791100e+00
1.332858647316434442e-01,-8.790477586755999440e+00
5.811800113325372719e-01,-5.875165866431231620e+00
4.663974685574161505e-01,-6.572181214861378962e+00
1.199739777001647273e-01,-8.539406246882661478e+00
2.383418345819353634e-01,-7.921508966714735145e+00
5.727798804264953164e-02,-8.742954936130677979e+00
5.392074763561077733e-01,-6.416100649378720711e+00
5.316500859157472503e-01,-4.946907581275437060e+00
2.241763297665000654e-01,-7.861478690841983585e+00
9.214427360616107843e-02,-7.840091365837043469e+00
2.007520890453487750e-01,-7.112886034439720895e+00
3.146271812038085036e-01,-7.475923033651455718e+00
3.713590695338177955e-02,-8.182912695793969959e+00
1.302495195214793955e-01,-7.862240795199054055e+00
3.001871100073201237e-01,-9.681899000037168079e+00
3.484566003635826137e-01,-8.812366324030897147e+00
9.165360164055531833e-02,-7.520436737486039469e+00
1.810609614679326851e-01,-6.505212050607923402e+00
5.564763779860651960e-01,-4.206432692983534061e+00
3.403809260868073117e-01,-6.697844013790230200e+00
1.240754003351613038e-01,-8.383818394701696874e+00
2.416762996070668038e-02,-8.463112615421016116e+00
2.412899483827605218e-01,-7.844280237206179507e+00
2.673816106765984912e-01,-8.699674314644228801e+00
9.575615171561560959e-03,-7.712406285372147785e+00
8.357308278376703037e-02,-6.348042668671856958e+00
1.401880181842407869e-01,-9.767758603550110053e+00
1.464622228807079506e-02,-7.355328079648749018e+00
2.585402311706623824e-01,-8.929345194949750208e+00
8.550368521620703433e-02,-6.231113693108142115e+00
2.771308157369407887e-02,-7.820164721430455046e+00
6.908698180869680960e-02,-6.420872334136849879e+00
3.457516904665611235e-01,-8.271230066506500833e+00
1.383534162996482020e-01,-7.845414776413292657e+00
1.862746642311264578e-01,-8.680464902049191522e+00
1.082531552932100710e-01,-7.804708513808719772e+00
8.412319485635029459e-02,-7.896994257885404878e+00
3.189568137623875754e-02,-7.051612760244660549e+00
3.706858110885564161e-01,-7.100275361700156829e+00
1.974603234563040155e-01,-7.854950361167310824e+00
1.282600384823038286e-01,-6.793547107650586447e+00
4.605556622157199187e-01,-5.787313615625324204e+00
7.573716654157411354e-02,-8.027350792115276690e+00
5.900853228255302785e-01,-5.842528868504163420e+00
7.882182505200482914e-02,-6.033010667672369820e+00
1.632260363392473018e-02,-8.887724529564607678e+00
3.478699393645481308e-01,-9.192796236935505405e+00
2.902226573738810322e-01,-6.736072784679231873e+00
2.312462897761780600e-01,-7.967140093481207330e+00
5.859786079251332325e-01,-4.584454416607738558e+00
3.153853897840063203e-01,-6.838443876161630186e+00
2.328375341423404854e-01,-8.995277406424197153e+00
2.660853544527060910e-01,-8.284941772561637663e+00
6.260891886164027254e-02,-7.329594238023579678e+00
9.379667113620085428e-02,-7.982229637708905479e+00
2.850767444123176730e-01,-7.859172068378811105e+00
1.183506238298252522e-01,-7.322041525234120662e+00
6.275598685120080678e-01,-5.829949130137169533e+00
5.538930767940996036e-01,-6.391821795847545395e+00
3.795862285450566920e-01,-6.658295790252935831e+00
2.693960843001627636e-01,-8.714648609512668287e+00
2.650425918647729140e-01,-8.367652737711079425e+00
1.496819268430377992e-01,-9.063679418283888012e+00
6.168041470320103151e-03,-8.922822578871265620e+00
4.027867692343769512e-01,-8.640173929500251759e+00
4.055269562371854319e-01,-6.349897697864607338e+00
3.052847490675260622e-01,-6.987189336643742088e+00
1.936147115611577263e-01,-1.006765706042683028e+01
1.689835960412272853e-01,-6.930681202838649746e+00
4.924653471821806017e-01,-6.743367452638747039e+00
3.692103369222672904e-01,-7.136720799895051037e+00
2.862069625052787378e-02,-5.634382507814282626e+00
2.232771258833798553e-02,-5.301269462504011543e+00
3.023606402875024246e-01,-7.126652604727950369e+00
3.490757432802085725e-01,-7.070031173478493969e+00
2.901919320303673056e-01,-7.949704875166889728e+00
4.360268048879367142e-01,-7.390794729644272643e+00
3.169039294756862551e-02,-9.735172944457261224e+00
3.686234457705397233e-02,-9.596930046928527247e+00
3.335229287598531212e-01,-7.410269432620112617e+00
3.858215671805526048e-02,-7.539973338966557748e+00
1.693179891650829771e-01,-7.419971328413909717e+00
5.917124871524100937e-01,-5.438544344019896393e+00
5.379096093096576991e-01,-4.833057821315474456e+00
3.270207485383316848e-02,-8.726273616392605348e+00
2.969656196171926443e-01,-5.832461309133520899e+00
4.298615119992868494e-01,-6.820447330652976703e+00
1.582668621894151861e-01,-8.343863057679605788e+00
3.443247142529306526e-01,-4.817728956562884690e+00
1.547665736595457697e-01,-8.850730567512421487e+00
6.943286253939199293e-01,-4.861377786939566903e+00
2.439699056535452326e-01,-8.244098750111620078e+00
2.219627758986669197e-01,-9.051123852225661182e+00
4.295659956877001528e-01,-6.343622178840726988e+00
5.360761642284801037e-02,-6.823570975715344211e+00
1.371978314501352547e-01,-6.502729360316182650e+00
3.367606855169578695e-01,-5.928797936238327182e+00
1.055522445727048314e-01,-7.987839848263778464e+00
5.639262811784245821e-02,-7.272246948902030717e+00
3.996997361899819190e-02,-8.188498114949402051e+00
5.398326124867945941e-01,-6.302209899312472885e+00
5.403968744977283301e-01,-6.464907903533365641e+00
2.375983804938690269e-01,-6.177763027953228736e+00
3.494160613762379089e-03,-9.097122999061641124e+00
2.860396815840863805e-01,-7.062992937795365300e+00
2.472053674311356364e-01,-7.843533509557305550e+00
1.211790355402420222e-01,-7.773243929911956229e+00
1.232246071847420132e-01,-7.284870354032045192e+00
3.871691334056772682e-01,-6.997603851543953368e+00
2.931349919180707975e-01,-7.757234438253035158e+00
