"rent_euro","rentsqm_euro","area","yearc","glocation","tlocation","nkitchen","pkitchen","eboden","year01","yearc2","yearc3","invarea"
120.613754272461,3.44610714912415,35,1939,0,0,0,0,1,0,3759721,7290099200,0.0285714287310839
435.671813964844,4.18915176391602,104,1939,0,0,0,0,0,0,3759721,7290099200,0.00961538497358561
354.683197021484,12.2304544448853,29,1971,1,0,0,0,1,0,3884841,7657021440,0.0344827584922314
282.079742431641,7.23281145095825,39,1972,1,0,0,0,1,0,3888784,7668682240,0.0256410259753466
804.824523925781,8.29715824127197,97,1985,0,0,0,0,0,0,3940225,7821346816,0.0103092780336738
481.381317138672,7.7642126083374,62,1962,0,0,0,0,0,0,3849444,7552609280,0.0161290317773819
322.727447509766,10.4105625152588,31,1965,0,0,0,0,1,0,3861225,7587307008,0.0322580635547638
369.868560791016,6.06342077255249,61,1957.5,1,0,0,0,0,0,3831806.25,7500760576,0.0163934417068958
372.578399658203,5.17469787597656,72,1978,0,0,0,0,0,0,3912484,7738893312,0.0138888889923692
520.13720703125,6.93516302108765,75,1968,0,0,0,0,0,0,3873024,7622111232,0.0133333336561918
642.284851074219,9.88130378723145,65,1956,1,0,0,0,0,0,3825936,7483530752,0.0153846153989434
698.373596191406,7.67443466186523,91,1984,0,0,0,0,0,0,3936256,7809531904,0.0109890112653375
778.799743652344,7.78799819946289,100,1959,0,0,0,0,0,0,3837681,7518017024,0.00999999977648258
411.078674316406,12.8462085723877,32,1994.5,0,0,1,0,0,0,3978030.25,7934181376,0.03125
329.323089599609,5.14567232131958,64,1962,0,0,0,0,0,0,3849444,7552609280,0.015625
245.164459228516,3.89149928092957,63,1929,0,0,0,0,0,0,3721041,7177888256,0.0158730167895555
555.365234375,5.39189529418945,103,1955,0,0,0,0,1,0,3822025,7472058880,0.00970873795449734
423.707580566406,5.80421113967896,73,1980,0,0,0,0,0,0,3920400,7762392064,0.0136986300349236
329.220855712891,5.48701572418213,60,1957,0,0,0,0,1,0,3829849,7495014400,0.0166666675359011
291.436370849609,5.02476501464844,58,1934,0,0,0,0,0,0,3740356,7233848320,0.0172413792461157
332.544250488281,10.3920078277588,32,1972,0,0,0,0,0,0,3888784,7668682240,0.03125
321.295837402344,3.96661520004272,81,1996,0,0,0,1,0,0,3984016,7952095744,0.0123456791043282
184.934280395508,4.74190473556519,39,1935,0,0,1,0,1,0,3744225,7245075456,0.0256410259753466
470.644165039062,4.35781669616699,108,1955,0,0,0,0,0,0,3822025,7472058880,0.00925925932824612
683.494995117188,7.85626554489136,87,1979,1,0,0,1,0,0,3916441,7750636544,0.0114942528307438
507.610565185547,8.46017837524414,60,1939,1,0,0,0,0,0,3759721,7290099200,0.0166666675359011
686.920654296875,5.49536514282227,125,1979,0,0,0,0,0,0,3916441,7750636544,0.00800000037997961
204.721267700195,3.05554151535034,67,1964,0,0,0,0,0,0,3857296,7575729152,0.0149253727868199
367.669982910156,4.59587526321411,80,1972,0,0,0,0,0,0,3888784,7668682240,0.0125000001862645
634.513244628906,8.57450294494629,74,1957,0,0,0,0,0,0,3829849,7495014400,0.013513513840735
237.188293457031,5.64734172821045,42,1962,0,0,0,0,1,0,3849444,7552609280,0.0238095242530107
411.998992919922,10.5640773773193,39,1996,0,0,1,0,1,0,3984016,7952095744,0.0256410259753466
