"id","year","defol","x","y","age","canopyd","gradient","alt","depth","ph","watermoisture","alkali","humus","type","fert"
5,1983,0,1.5,5,43,100,2,320,10,4.6100001335144,1,3,2,1,1
5,1984,0,1.5,5,44,100,2,320,10,4.34000015258789,1,3,4,1,1
5,1985,0,1.5,5,45,100,2,320,10,4.75,1,3,1,1,1
5,1986,0,1.5,5,46,100,2,320,10,3.99000000953674,1,3,3,1,1
5,1987,0,1.5,5,47,100,2,320,10,5.30000019073486,1,3,1,1,1
5,1988,0,1.5,5,48,100,2,320,10,3.82999992370605,1,3,0,1,1
5,1989,0,1.5,5,49,100,2,320,10,4.05000019073486,1,3,0,1,1
5,1990,0,1.5,5,50,100,2,320,10,4.05999994277954,1,3,2,1,1
5,1991,0,1.5,5,51,100,2,320,10,4.30000019073486,1,3,0,1,1
5,1992,0,1.5,5,52,100,2,320,10,4.84000015258789,1,3,0,1,1
5,1993,0,1.5,5,53,100,2,320,10,4.38000011444092,1,3,1,1,1
5,1994,0,1.5,5,54,100,2,320,10,4.55000019073486,1,3,1,1,1
5,1995,0,1.5,5,55,100,2,320,10,4.71999979019165,1,3,0,1,1
5,1996,0,1.5,5,56,100,2,320,10,4.4850001335144,1,3,0,1,1
5,1997,0,1.5,5,57,100,2,320,10,4.25,1,3,0,1,1
5,1998,0,1.5,5,58,100,2,320,10,4.30999994277954,1,3,3,1,1
5,1999,0,1.5,5,59,100,2,320,10,4.36999988555908,1,3,2,1,1
5,2000,0,1.5,5,60,100,2,320,10,4.28000020980835,1,3,2,1,1
5,2001,0,1.5,5,61,100,2,320,10,4.19000005722046,1,3,1,1,1
5,2002,0,1.5,5,62,100,2,320,10,4.1399998664856,1,3,2,1,1
5,2003,0,1.5,5,63,100,2,320,10,4.09000015258789,1,3,4,1,1
5,2004,0,1.5,5,64,100,2,320,10,4.03499984741211,1,3,5,1,1
1,1983,0,0.699999988079071,2.90000009536743,116,90,21,340,14,3.98000001907349,3,2,2,0,0
1,1984,0,0.699999988079071,2.90000009536743,117,90,21,340,14,4.15000009536743,3,2,3,0,0
1,1985,0,0.699999988079071,2.90000009536743,118,90,21,340,14,4.1399998664856,3,2,0,0,0
1,1986,0,0.699999988079071,2.90000009536743,119,90,21,340,14,4.19000005722046,3,2,0,0,0
1,1987,0,0.699999988079071,2.90000009536743,120,90,21,340,14,4.05000019073486,3,2,0,0,0
1,1988,12.5,0.699999988079071,2.90000009536743,121,90,21,340,14,4.01999998092651,3,2,0,0,0
1,1989,12.5,0.699999988079071,2.90000009536743,122,90,21,340,14,3.94000005722046,3,2,0,0,0
1,1990,0,0.699999988079071,2.90000009536743,123,90,21,340,14,4.19000005722046,3,2,0,0,0
1,1991,0,0.699999988079071,2.90000009536743,124,90,21,340,14,4.44000005722046,3,2,0,0,0
1,1992,0,0.699999988079071,2.90000009536743,125,90,21,340,14,4.3600001335144,3,2,1,0,0
1,1993,0,0.699999988079071,2.90000009536743,126,90,21,340,14,4.42999982833862,3,2,0,0,0
1,1994,0,0.699999988079071,2.90000009536743,127,90,21,340,14,4.47499990463257,3,2,0,0,0
1,1995,0,0.699999988079071,2.90000009536743,128,90,21,340,14,4.51999998092651,3,2,0,0,0
1,1996,12.5,0.699999988079071,2.90000009536743,129,90,21,340,14,4.25,3,2,0,0,0
1,1997,12.5,0.699999988079071,2.90000009536743,130,90,21,340,14,3.98000001907349,3,2,0,0,0
1,1998,12.5,0.699999988079071,2.90000009536743,131,80,21,340,14,4.14499998092651,3,2,1,0,0
1,1999,12.5,0.699999988079071,2.90000009536743,132,80,21,340,14,4.30999994277954,3,2,1,0,0
1,2000,0,0.699999988079071,2.90000009536743,133,80,21,340,14,4.30499982833862,3,2,0,0,0
1,2001,12.5,0.699999988079071,2.90000009536743,134,80,21,340,14,4.30000019073486,3,2,0,0,0
1,2002,12.5,0.699999988079071,2.90000009536743,135,80,21,340,14,4.28499984741211,3,2,1,0,0
1,2003,12.5,0.699999988079071,2.90000009536743,136,80,21,340,14,4.26999998092651,3,2,0,0,0
1,2004,12.5,0.699999988079071,2.90000009536743,137,90,21,340,14,4.45499992370605,3,2,0,0,0
11,1983,0,2.20000004768372,4.40000009536743,17,80,2,390,33,4.6399998664856,2,2,1,1,1
11,1984,0,2.20000004768372,4.40000009536743,18,80,2,390,33,4.51000022888184,2,2,2,1,1
11,1985,0,2.20000004768372,4.40000009536743,19,80,2,390,33,4.32000017166138,2,2,3,1,1
11,1986,0,2.20000004768372,4.40000009536743,20,80,2,390,33,4.15999984741211,2,2,1,1,1
11,1987,0,2.20000004768372,4.40000009536743,21,80,2,390,33,4.38000011444092,2,2,2,1,1
11,1988,0,2.20000004768372,4.40000009536743,22,80,2,390,33,4.01999998092651,2,2,2,1,1
11,1989,0,2.20000004768372,4.40000009536743,23,80,2,390,33,4.05000019073486,2,2,0,1,1
11,1990,0,2.20000004768372,4.40000009536743,24,90,2,390,33,4.23999977111816,2,2,0,1,1
11,1991,0,2.20000004768372,4.40000009536743,25,90,2,390,33,4.40999984741211,2,2,1,1,1
11,1992,0,2.20000004768372,4.40000009536743,26,90,2,390,33,4.19000005722046,2,2,1,1,1
11,1993,0,2.20000004768372,4.40000009536743,27,90,2,390,33,4.23999977111816,2,2,0,1,1
11,1994,0,2.20000004768372,4.40000009536743,28,100,2,390,33,4.32000017166138,2,2,2,1,1
11,1995,0,2.20000004768372,4.40000009536743,29,90,2,390,33,4.40000009536743,2,2,1,1,1
11,1996,0,2.20000004768372,4.40000009536743,30,90,2,390,33,4.35500001907349,2,2,2,1,1
11,1997,0,2.20000004768372,4.40000009536743,31,90,2,390,33,4.30999994277954,2,2,3,1,1
11,1998,0,2.20000004768372,4.40000009536743,32,90,2,390,33,4.28000020980835,2,2,2,1,1
11,1999,0,2.20000004768372,4.40000009536743,33,90,2,390,33,4.25,2,2,2,1,1
11,2000,0,2.20000004768372,4.40000009536743,34,80,2,390,33,4.23000001907349,2,2,0,1,1
11,2001,0,2.20000004768372,4.40000009536743,35,80,2,390,33,4.21000003814697,2,2,3,1,1
11,2002,0,2.20000004768372,4.40000009536743,36,80,2,390,33,4.19000005722046,2,2,1,1,1
11,2003,0,2.20000004768372,4.40000009536743,37,80,2,390,33,4.17000007629395,2,2,2,1,1
11,2004,0,2.20000004768372,4.40000009536743,38,80,2,390,33,4.1399998664856,2,2,2,1,1
